nohup: ignoring input
OpenBLAS WARNING - could not determine the L2 cache size on this system, assuming 256k
2026-05-13 08:43:49,541 - MarketScanner - INFO - 🚀 Market Scanner started | Scan interval: 5 minutes
2026-05-13 08:43:49,542 - MarketScanner - INFO - 🔍 Starting COMPREHENSIVE market scan...
2026-05-13 08:43:49,542 - MarketScanner - INFO - 📊 Scanning 108 symbols across all asset classes
2026-05-13 08:43:49,542 - MarketScanner - INFO - 🚀 Using parallel processing (max 10 concurrent)
2026-05-13 08:43:49,543 - master_brain - INFO - Analyzing EURUSD=X on 1h timeframe
2026-05-13 08:43:49,543 - utils.data_fetcher - INFO - Fetching data for EURUSD=X (EURUSD=X) on 1h timeframe
2026-05-13 08:43:49,555 - master_brain - INFO - Analyzing GBPUSD=X on 1h timeframe
2026-05-13 08:43:49,556 - utils.data_fetcher - INFO - Fetching data for GBPUSD=X (GBPUSD=X) on 1h timeframe
2026-05-13 08:43:49,558 - master_brain - INFO - Analyzing USDJPY=X on 1h timeframe
2026-05-13 08:43:49,558 - utils.data_fetcher - INFO - Fetching data for USDJPY=X (USDJPY=X) on 1h timeframe
2026-05-13 08:43:49,559 - master_brain - INFO - Analyzing USDCHF=X on 1h timeframe
2026-05-13 08:43:49,560 - master_brain - INFO - Analyzing AUDUSD=X on 1h timeframe
2026-05-13 08:43:49,561 - utils.data_fetcher - INFO - Fetching data for USDCHF=X (USDCHF=X) on 1h timeframe
2026-05-13 08:43:49,561 - master_brain - INFO - Analyzing USDCAD=X on 1h timeframe
2026-05-13 08:43:49,577 - utils.data_fetcher - INFO - Fetching data for USDCAD=X (USDCAD=X) on 1h timeframe
2026-05-13 08:43:49,575 - utils.data_fetcher - INFO - Fetching data for AUDUSD=X (AUDUSD=X) on 1h timeframe
2026-05-13 08:43:49,621 - utils.data_fetcher - INFO - Successfully fetched 122 candles for EURUSD=X
2026-05-13 08:43:49,622 - utils.data_fetcher - INFO - Successfully fetched 122 candles for GBPUSD=X
2026-05-13 08:43:49,638 - utils.data_fetcher - INFO - Successfully fetched 122 candles for USDJPY=X
2026-05-13 08:43:49,641 - utils.data_fetcher - INFO - Successfully fetched 122 candles for USDCHF=X
2026-05-13 08:43:49,643 - utils.data_fetcher - INFO - Successfully fetched 122 candles for USDCAD=X
2026-05-13 08:43:49,656 - utils.data_fetcher - INFO - Successfully fetched 122 candles for AUDUSD=X
2026-05-13 08:43:51,621 - utils.data_fetcher - INFO - Fetching data for EURUSD=X (EURUSD=X) on 4h timeframe
2026-05-13 08:43:51,637 - utils.data_fetcher - INFO - Fetching data for GBPUSD=X (GBPUSD=X) on 4h timeframe
2026-05-13 08:43:51,640 - utils.data_fetcher - INFO - Fetching data for USDJPY=X (USDJPY=X) on 4h timeframe
2026-05-13 08:43:51,642 - utils.data_fetcher - INFO - Fetching data for USDCHF=X (USDCHF=X) on 4h timeframe
2026-05-13 08:43:51,644 - utils.data_fetcher - INFO - Fetching data for USDCAD=X (USDCAD=X) on 4h timeframe
2026-05-13 08:43:51,657 - utils.data_fetcher - INFO - Fetching data for AUDUSD=X (AUDUSD=X) on 4h timeframe
2026-05-13 08:43:51,677 - utils.data_fetcher - INFO - Successfully fetched 134 candles for EURUSD=X
2026-05-13 08:43:51,699 - utils.data_fetcher - INFO - Successfully fetched 134 candles for GBPUSD=X
2026-05-13 08:43:51,718 - utils.data_fetcher - INFO - Successfully fetched 134 candles for USDJPY=X
2026-05-13 08:43:51,720 - utils.data_fetcher - INFO - Successfully fetched 134 candles for USDCAD=X
2026-05-13 08:43:51,723 - utils.data_fetcher - INFO - Successfully fetched 134 candles for USDCHF=X
2026-05-13 08:43:51,757 - utils.data_fetcher - INFO - Successfully fetched 134 candles for AUDUSD=X
2026-05-13 08:43:52,138 - master_brain - INFO - --- SIGNAL DEBUGGER ---
